
/begin_header
/missing=-999
/delimiter=space
!
! Water absorption and scattering coefficients
! 200nm - 2450nm
!
! Absorption coefficients were derived from Pope and Fry and Kou et. al.,
!
! Scattering coefficients were derived from Zhang et al. (2009)
! using a temperature of 20 degrees C and a salinity of 38.4 g/kg
!
!       Pope, R. M. and E. S. Fry, 1997, "Absorption spectrum (380-700 nm) of
!               pure water. II. Integrating cavity measurements,"
!               Appl. Opt.,36, 8710-8723.
!
!       Kou, L., D. Labrie, P. Chylek, 1993, "Refractive indices of water and
!               ice in the 0.65-2.5 m spectral range,"
!               Appl. Opt.,32, 3531-3540.
!
!	Zhang, X., L. Hu, and M-X. He, 2009, "Scattering by pure seawater:
		Effect of salinity,"
		Opt. Express 17, 5698-5710.
!
! NOTE: for backscatter, we use 0.5*bw
!
/fields=wavelength,aw,bw
/units=nm,m^-1,m^-1
/end_header
274.2 0.337300 0.0365785
274.3 0.336450 0.0365153
274.4 0.335600 0.0364523
274.5 0.334750 0.0363894
274.6 0.333900 0.0363266
274.7 0.333050 0.0362640
274.8 0.332200 0.0362016
274.9 0.331350 0.0361393
275.0 0.330500 0.0360771
275.1 0.329650 0.0360150
275.2 0.328800 0.0359531
275.3 0.327950 0.0358913
275.4 0.327100 0.0358297
275.5 0.326250 0.0357682
275.6 0.325400 0.0357068
275.7 0.324550 0.0356455
275.8 0.323700 0.0355845
275.9 0.322850 0.0355235
276.0 0.322000 0.0354627
276.1 0.321150 0.0354020
276.2 0.320300 0.0353415
276.3 0.319450 0.0352810
276.4 0.318600 0.0352207
276.5 0.317750 0.0351606
276.6 0.316900 0.0351006
276.7 0.316050 0.0350407
276.8 0.315200 0.0349809
276.9 0.314350 0.0349213
277.0 0.313500 0.0348618
277.1 0.312650 0.0348024
277.2 0.311800 0.0347432
277.3 0.310950 0.0346841
277.4 0.310100 0.0346252
277.5 0.309250 0.0345663
277.6 0.308400 0.0345076
277.7 0.307550 0.0344490
277.8 0.306700 0.0343905
277.9 0.305850 0.0343322
278.0 0.305000 0.0342740
278.1 0.304150 0.0342160
278.2 0.303300 0.0341580
278.3 0.302450 0.0341002
278.4 0.301600 0.0340425
278.5 0.300750 0.0339849
278.6 0.299900 0.0339275
278.7 0.299050 0.0338702
278.8 0.298200 0.0338130
278.9 0.297350 0.0337559
279.0 0.296500 0.0336990
279.1 0.295650 0.0336422
279.2 0.294800 0.0335855
279.3 0.293950 0.0335289
279.4 0.293100 0.0334725
279.5 0.292250 0.0334161
279.6 0.291400 0.0333599
279.7 0.290550 0.0333038
279.8 0.289700 0.0332479
279.9 0.288850 0.0331921
280.0 0.288000 0.0331364
280.1 0.287270 0.0330808
