4, channel 4 SRF extracted from AHI-8_SpectralResponsivity_Data.xlsx (release Sept 2013)
Number of data points:
1336
Wavenumber (cm-1)   Filter response
    11866.000000       0.736756
    11867.000000       0.732589
    11868.000000       0.728409
    11869.000000       0.724214
    11870.000000       0.720004
    11871.000000       0.715776
    11872.000000       0.711530
    11873.000000       0.707264
    11874.000000       0.702976
    11875.000000       0.698666
    11876.000000       0.694331
    11877.000000       0.689969
    11878.000000       0.685580
    11879.000000       0.681163
    11880.000000       0.676721
    11881.000000       0.672256
    11882.000000       0.667770
    11883.000000       0.663263
    11884.000000       0.658739
    11885.000000       0.654200
    11886.000000       0.649646
    11887.000000       0.645079
    11888.000000       0.640503
    11889.000000       0.635918
    11890.000000       0.631326
    11891.000000       0.626727
    11892.000000       0.622109
    11893.000000       0.617470
    11894.000000       0.612812
    11895.000000       0.608138
    11896.000000       0.603451
    11897.000000       0.598752
    11898.000000       0.594044
    11899.000000       0.589330
    11900.000000       0.584612
    11901.000000       0.579893
    11902.000000       0.575174
    11903.000000       0.570459
    11904.000000       0.565750
    11905.000000       0.561049
    11906.000000       0.556360
    11907.000000       0.551680
    11908.000000       0.547007
    11909.000000       0.542336
    11910.000000       0.537666
    11911.000000       0.532993
    11912.000000       0.528314
    11913.000000       0.523626
    11914.000000       0.518926
    11915.000000       0.514210
    11916.000000       0.509476
    11917.000000       0.504720
    11918.000000       0.499940
    11919.000000       0.495132
    11920.000000       0.490291
    11921.000000       0.485418
    11922.000000       0.480517
    11923.000000       0.475592
    11924.000000       0.470647
    11925.000000       0.465687
    11926.000000       0.460715
    11927.000000       0.455737
    11928.000000       0.450755
    11929.000000       0.445775
    11930.000000       0.440801
    11931.000000       0.435836
    11932.000000       0.430885
    11933.000000       0.425952
    11934.000000       0.421034
    11935.000000       0.416116
    11936.000000       0.411199
    11937.000000       0.406284
    11938.000000       0.401371
    11939.000000       0.396462
    11940.000000       0.391556
    11941.000000       0.386655
    11942.000000       0.381759
    11943.000000       0.376869
    11944.000000       0.371986
    11945.000000       0.367109
    11946.000000       0.362240
    11947.000000       0.357380
    11948.000000       0.352529
    11949.000000       0.347687
    11950.000000       0.342854
    11951.000000       0.338029
    11952.000000       0.333211
    11953.000000       0.328399
    11954.000000       0.323593
    11955.000000       0.318791
    11956.000000       0.313993
    11957.000000       0.309199
    11958.000000       0.304407
    11959.000000       0.299616
    11960.000000       0.294826
    11961.000000       0.290036
    11962.000000       0.285244
    11963.000000       0.280427
    11964.000000       0.275583
    11965.000000       0.270720
    11966.000000       0.265847
    11967.000000       0.260973
    11968.000000       0.256104
    11969.000000       0.251251
    11970.000000       0.246422
    11971.000000       0.241624
    11972.000000       0.236866
    11973.000000       0.232157
    11974.000000       0.227504
    11975.000000       0.222917
    11976.000000       0.218403
    11977.000000       0.213951
    11978.000000       0.209541
    11979.000000       0.205171
    11980.000000       0.200840
    11981.000000       0.196548
    11982.000000       0.192292
    11983.000000       0.188073
    11984.000000       0.183889
    11985.000000       0.179738
    11986.000000       0.175620
    11987.000000       0.171534
    11988.000000       0.167479
    11989.000000       0.163453
    11990.000000       0.159455
    11991.000000       0.155477
    11992.000000       0.151489
    11993.000000       0.147497
    11994.000000       0.143511
    11995.000000       0.139541
    11996.000000       0.135598
    11997.000000       0.131692
    11998.000000       0.127833
    11999.000000       0.124032
    12000.000000       0.120298
    12001.000000       0.116643
    12002.000000       0.113075
    12003.000000       0.109605
    12004.000000       0.106244
    12005.000000       0.103000
    12006.000000       0.099819
    12007.000000       0.096675
    12008.000000       0.093576
    12009.000000       0.090525
    12010.000000       0.087528
    12011.000000       0.084591
    12012.000000       0.081720
    12013.000000       0.078919
    12014.000000       0.076194
    12015.000000       0.073551
    12016.000000       0.070994
    12017.000000       0.068530
    12018.000000       0.066163
    12019.000000       0.063900
    12020.000000       0.061724
    12021.000000       0.059595
    12022.000000       0.057512
    12023.000000       0.055478
    12024.000000       0.053496
    12025.000000       0.051567
    12026.000000       0.049695
    12027.000000       0.047881
    12028.000000       0.046128
    12029.000000       0.044438
    12030.000000       0.042814
    12031.000000       0.041258
    12032.000000       0.039772
    12033.000000       0.038360
    12034.000000       0.037020
    12035.000000       0.035726
    12036.000000       0.034469
    12037.000000       0.033248
    12038.000000       0.032065
    12039.000000       0.030919
    12040.000000       0.029812
    12041.000000       0.028743
    12042.000000       0.027714
    12043.000000       0.026725
    12044.000000       0.025776
    12045.000000       0.024869
    12046.000000       0.024002
    12047.000000       0.023177
    12048.000000       0.022395
    12049.000000       0.021647
    12050.000000       0.020916
    12051.000000       0.020203
    12052.000000       0.019510
    12053.000000       0.018838
    12054.000000       0.018189
    12055.000000       0.017564
    12056.000000       0.016965
    12057.000000       0.016392
    12058.000000       0.015849
    12059.000000       0.015336
    12060.000000       0.014854
    12061.000000       0.014405
    12062.000000       0.013991
    12063.000000       0.013612
    12064.000000       0.013254
    12065.000000       0.012911
    12066.000000       0.012582
    12067.000000       0.012267
    12068.000000       0.011966
    12069.000000       0.011679
    12070.000000       0.011405
    12071.000000       0.011144
    12072.000000       0.010896
    12073.000000       0.010661
    12074.000000       0.010437
    12075.000000       0.010226
    12076.000000       0.010026
    12077.000000       0.009838
    12078.000000       0.009660
    12079.000000       0.009492
    12080.000000       0.009333
    12081.000000       0.009182
    12082.000000       0.009038
    12083.000000       0.008901
    12084.000000       0.008768
    12085.000000       0.008641
    12086.000000       0.008517
    12087.000000       0.008396
    12088.000000       0.008277
    12089.000000       0.008160
    12090.000000       0.008043
    12091.000000       0.007925
    12092.000000       0.007806
    12093.000000       0.007688
    12094.000000       0.007573
    12095.000000       0.007461
    12096.000000       0.007350
    12097.000000       0.007242
    12098.000000       0.007135
    12099.000000       0.007029
    12100.000000       0.006924
    12101.000000       0.006820
    12102.000000       0.006716
    12103.000000       0.006612
    12104.000000       0.006509
    12105.000000       0.006404
    12106.000000       0.006299
    12107.000000       0.006192
    12108.000000       0.006085
    12109.000000       0.005978
    12110.000000       0.005870
    12111.000000       0.005763
    12112.000000       0.005655
    12113.000000       0.005548
    12114.000000       0.005441
    12115.000000       0.005334
    12116.000000       0.005229
    12117.000000       0.005124
    12118.000000       0.005020
    12119.000000       0.004918
    12120.000000       0.004817
    12121.000000       0.004718
    12122.000000       0.004620
    12123.000000       0.004522
    12124.000000       0.004423
